"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","mun","disloc2015","disloc2018","X","edon.y","munn.y","escenario1","escenario2","escenario3","morena_clv1","pan_cnv1","pes_clv1","prd_clv1","pri_clv1","pvem_clv1","mc_clv2","pan_cnv2","pes_clv2","prd_cnv2","pri_clv2","pvem_clv2","esc1_morCLV1","esc1_panCNV1","esc1_pesCLV1","esc1_prdCLV1","esc1_priCLV1","esc1_pvemCLV1","esc2_mcCLV2","esc2_panCNV2","esc2_pesCLV2","esc2_prdCNV2","esc2_priCLV2","esc2_pvemCLV2","SQ","dsiSQ_E1"
108,6,19,"nl",6,2,2,2,"apodaca",16,5,99,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42
109,6,19,"nl",6,2,2,2,"apodaca",16,5,100,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42
110,6,19,"nl",6,2,2,2,"apodaca",16,5,101,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42
111,6,19,"nl",6,2,2,2,"apodaca",16,5,102,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42
112,6,19,"nl",6,2,2,2,"apodaca",16,5,103,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42
113,6,19,"nl",6,2,2,2,"apodaca",16,5,104,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42
114,6,19,"nl",6,2,2,2,"apodaca",16,5,105,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42
115,6,19,"nl",6,2,2,2,"apodaca",16,5,106,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42
116,6,19,"nl",6,2,2,2,"apodaca",16,5,107,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42
117,6,19,"nl",6,2,2,2,"apodaca",16,5,108,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42
118,6,19,"nl",6,2,2,2,"apodaca",16,5,109,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42
119,6,19,"nl",6,2,2,2,"apodaca",16,5,110,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42
120,6,19,"nl",6,2,2,2,"apodaca",16,5,111,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42
121,6,19,"nl",6,2,2,2,"apodaca",16,7,112,19,6,11,13,13,13,13,13,13,13,11,13,13,13,11,13,13,0,0,0,0,0,1,1,1,1,0,1,1,16,0.319
122,6,19,"nl",6,2,2,2,"apodaca",16,5,113,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42
123,6,19,"nl",6,2,2,2,"apodaca",16,7,114,19,6,11,13,13,13,13,13,13,13,11,13,13,13,11,13,13,0,0,0,0,0,1,1,1,1,0,1,1,16,0.319
124,6,19,"nl",6,2,2,2,"apodaca",16,7,115,19,6,11,13,13,13,13,13,13,13,11,13,13,13,13,13,13,0,0,0,0,0,1,1,1,1,1,1,1,16,0.319
125,6,19,"nl",6,2,2,2,"apodaca",16,7,116,19,6,11,13,13,13,13,13,13,13,11,13,13,13,11,13,13,0,0,0,0,0,1,1,1,1,0,1,1,16,0.319
126,6,19,"nl",6,2,2,2,"apodaca",16,5,117,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42
127,6,19,"nl",6,2,2,2,"apodaca",16,5,118,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42
128,6,19,"nl",6,2,2,2,"apodaca",16,7,119,19,6,11,13,13,13,13,13,13,13,11,13,13,13,11,13,13,0,0,0,0,0,1,1,1,1,0,1,1,16,0.319
130,6,19,"nl",6,2,2,2,"apodaca",16,7,120,19,6,11,13,13,13,13,13,13,13,11,13,13,13,13,13,13,0,0,0,0,0,1,1,1,1,1,1,1,16,0.319
131,6,19,"nl",6,2,2,2,"apodaca",16,5,121,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42
132,6,19,"nl",6,2,2,2,"apodaca",16,5,122,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42
133,6,19,"nl",6,2,2,2,"apodaca",16,5,123,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42
134,6,19,"nl",6,2,2,2,"apodaca",16,5,124,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42
135,6,19,"nl",6,2,2,2,"apodaca",16,5,125,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42
