"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2012","cab","X","edon.y","munn.y","escenario1","escenario2","escenario3_jge","escenario3","mc_clv1","pan_iee1","pri_clv1","pan_clv2","prd_clv2","prd_cnv2","esc1_priCLV1","esc1_panIEE1","esc1_mcCLV1","esc2_panCLV2","esc2_prdCLV2","esc2_prdCNV2","SQ","dsiSQ_E1"
143,6,17,"mor",2,3,3,3,7,15,"cuautla",143,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
144,6,17,"mor",2,3,3,3,7,15,"cuautla",144,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
145,6,17,"mor",2,3,3,3,7,15,"cuautla",145,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
146,6,17,"mor",2,3,3,3,7,15,"cuautla",146,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
147,6,17,"mor",2,3,3,3,7,15,"cuautla",147,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
148,6,17,"mor",2,3,3,3,7,15,"cuautla",148,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,14,0.482
149,6,17,"mor",2,3,3,3,7,15,"cuautla",149,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,14,0.482
150,6,17,"mor",2,3,3,3,7,15,"cuautla",150,17,6,11,11,12,11,1,7,5,6,12,11,0,0,0,0,0,1,17,0.589
151,6,17,"mor",2,3,3,3,7,15,"cuautla",151,17,6,11,11,12,11,1,7,5,6,12,11,0,0,0,0,0,1,17,0.589
152,6,17,"mor",2,3,3,3,7,15,"cuautla",152,17,6,11,11,12,11,1,7,5,6,12,11,0,0,0,0,0,1,17,0.589
153,6,17,"mor",2,3,3,3,7,15,"cuautla",153,17,6,11,11,12,11,1,7,3,6,12,11,0,0,0,0,0,1,17,0.589
154,6,17,"mor",2,3,3,3,7,15,"cuautla",154,17,6,12,12,12,11,1,7,4,6,12,11,0,0,0,0,1,0,14,0.482
155,6,17,"mor",2,3,3,3,7,15,"cuautla",155,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,14,0.482
156,6,17,"mor",2,3,3,3,7,15,"cuautla",156,17,6,12,12,12,12,2,7,4,6,12,12,0,0,0,0,1,1,14,0.482
157,6,17,"mor",2,3,3,3,7,15,"cuautla",157,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
158,6,17,"mor",2,3,3,3,7,15,"cuautla",158,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
159,6,17,"mor",2,3,3,3,7,15,"cuautla",159,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
160,6,17,"mor",2,3,3,3,7,15,"cuautla",160,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
161,6,17,"mor",2,3,3,3,7,15,"cuautla",161,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
162,6,17,"mor",2,3,3,3,7,15,"cuautla",162,17,6,12,12,12,12,1,8,4,6,12,12,0,0,0,0,1,1,14,0.482
163,6,17,"mor",2,3,3,3,7,15,"cuautla",163,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
164,6,17,"mor",2,3,3,3,7,15,"cuautla",164,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
165,6,17,"mor",2,3,3,3,7,15,"cuautla",165,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
166,6,17,"mor",2,3,3,3,7,15,"cuautla",166,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
167,6,17,"mor",2,3,3,3,7,15,"cuautla",167,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
168,6,17,"mor",2,3,3,3,7,15,"cuautla",168,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
169,6,17,"mor",2,3,3,3,7,15,"cuautla",169,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,14,0.482
170,6,17,"mor",2,3,3,3,7,15,"cuautla",170,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,14,0.482
171,6,17,"mor",2,3,3,3,7,15,"cuautla",171,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,14,0.482
172,6,17,"mor",2,3,3,3,7,15,"cuautla",172,17,6,12,12,12,12,1,7,3,6,12,12,0,0,0,0,1,1,14,0.482
